Date,Rocket-TVL,market_cap
2022-09-28,519677903.6,459514922.25291663
2022-09-29,527124782.7,469300311.4574983
2022-09-30,545950486.4,462012633.12566113
2022-10-01,546338730,462363468.0887525
2022-10-02,544916553.5,458653801.2625119
2022-10-03,533397060.4,441614575.16332346
2022-10-04,552947626.7,458136173.4069318
2022-10-05,565755214.4,468570084.51662695
2022-10-06,572867095.2,471686491.2728539
2022-10-07,571407755.4,472801602.4954977
2022-10-08,564031326.7,465268037.3762091
2022-10-09,556364657.3,460004281.8329041
2022-10-10,564656235.3,465841627.5673112
2022-10-11,533595269,425755776.8620298
2022-10-12,531090403.4,408234678.6190168
2022-10-13,541866024,414718672.38785696
2022-10-14,533698381.2,408087992.761152
2022-10-15,539790166,415857351.9307616
2022-10-16,534503271.9,414702765.7164781
2022-10-17,547029919,426662436.4033145
2022-10-18,560965766.8,430811348.0631952
2022-10-19,545489408.6,421664337.28890246
2022-10-20,541120357.7,416868222.807792
2022-10-21,539383294.3,405811181.5020788
2022-10-22,544366845.8,401193115.50129306
2022-10-23,550711643.8,412829373.52936137
2022-10-24,574277393.9,427267915.7718022
2022-10-25,562366084.1,418142419.52682936
2022-10-26,615585237.7,447754709.49057376
2022-10-27,655300683.3,479141862.26752895
2022-10-28,636721799.8,468982677.9100305
2022-10-29,639845318.6,468679326.4732163
2022-10-30,662425563.4,462914287.8850562
2022-10-31,656467052.3,467321259.1192143
2022-11-01,630524898.2,398335256.4999635
2022-11-02,654499612.7,448390700.0944297
2022-11-03,624241788.4,398754479.9085195
2022-11-04,624790856.3,403744858.4741519
2022-11-05,657105960.6,405325350.3137791
2022-11-06,650778854.1,401965416.6217516
2022-11-07,631661735.8,402888685.0940995
2022-11-08,634837866.6,405468485.15186846
2022-11-09,535757605.3,351201002.9269402
2022-11-10,447472684.8,251090906.03144675
2022-11-11,510095259,301690520.4374466
2022-11-12,502473708.3,290300912.6168811
2022-11-13,501544579,290587117.17706466
2022-11-14,491538871.6,304057340.9503898
2022-11-15,504876642.4,304599091.15802044
2022-11-16,514521357.5,319861967.1152078
2022-11-17,499251636.6,299525705.6111955
2022-11-18,498630344.6,305628669.94544613
2022-11-19,502779949.2,307947455.2720558
2022-11-20,507720470.6,313959112.6458312
2022-11-21,477348037.5,300471791.24554026
2022-11-22,465899917.5,287094414.3921477
2022-11-23,480945541.3,302745139.78012747
2022-11-24,501762548,315153265.4438294
2022-11-25,509691175.1,322354770.3387044
2022-11-26,514368091.2,326497002.38800955
2022-11-27,513332947.9,320922906.9008813
2022-11-28,513509485.5,324374053.1281666
2022-11-29,502101737.9,320278899.7188441
2022-11-30,552759526.3,344764725.1321802
2022-12-01,561408859.9,370598735.0655425
2022-12-02,564577442.3,371189469.4456888
2022-12-03,578565266.8,391665997.611489
2022-12-04,560826866.4,385111629.4781142
2022-12-05,577395297.4,389286010.29129165
2022-12-06,565727123.3,378301798.46869016
2022-12-07,571234126,381483933.151394
2022-12-08,556489532.2,371761940.379548
2022-12-09,576564526.8,387722692.7504167
2022-12-10,568632354.5,375842290.0528212
2022-12-11,576805534.4,381996921.8440508
2022-12-12,576089687.8,381806750.1787071
2022-12-13,579161761.3,379260382.2535207
2022-12-14,604444296.1,398130695.00134426
2022-12-15,600472965.4,392837846.4035746
2022-12-16,582281567.5,384791362.7652675
2022-12-17,540520586.6,355102185.20512736
2022-12-18,540130127.8,351441300.4895501
2022-12-19,550786783.3,367760279.9678336
2022-12-20,538382336.7,351402596.7541501
2022-12-21,559564058.8,372896815.4583778
2022-12-22,561032479.5,366191463.1404536
2022-12-23,564657820.7,373778270.1874034
2022-12-24,566919048.8,372128132.58059394
2022-12-25,570711688.5,380659173.8042118
2022-12-26,569001956.4,377430094.5777708
2022-12-27,569736295.3,374347539.2653433
2022-12-28,566746839.2,380347323.65817
2022-12-29,556564250.3,366194457.54958767
2022-12-30,562848024.1,369079673.2474504
2022-12-31,565008669.6,376260484.5667881
2023-01-01,564930075.3,377958012.8917992
2023-01-02,573438258.4,392499618.5032148
2023-01-03,587081391.3,406813275.7138357
2023-01-04,582636923.3,401401098.441716
2023-01-05,613001109.3,433699764.3665517
2023-01-06,612827463,420397700.6074457
2023-01-07,623230385.3,428924909.49033886
2023-01-08,623852618.3,434127487.6932859
2023-01-09,651889342.1,456241463.8462207
2023-01-10,665548666.7,274662104.61817586
2023-01-11,670740175.1,476005135.4586382
2023-01-12,709076006.4,509056946.802875
2023-01-13,718534791.5,526392157.8225507
2023-01-14,782058885,535597180.26549727
2023-01-15,793306712.6,592659285.2923852
2023-01-16,811447552,608946547.8766737
2023-01-17,818571634.2,611443882.9433532
2023-01-18,824096215.2,611697577.7941132
2023-01-19,806339376.6,613500149.0880309
2023-01-20,826413511.6,617851324.7257793
2023-01-21,906653519.6,721257683.1747247
2023-01-22,891701011.2,680243272.9750358
2023-01-23,886811411.6,659819920.8516326
