,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,terra,moonriver,moonbeam,ethereum,solana,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot
,26/01/2021,1611619200,0,,,127510734.09330429,,127510734.09330429,,,,127510734.09330429,,,,127510734.09330429,,,,,,,,,,91244.70306073954,,,,91244.70306073954,,,,,,
,27/01/2021,1611705600,0,,,127250330.17262952,,127250330.17262952,,,,127250330.17262952,,,,127250330.17262952,,,,,,,,,,95439.81142507828,,,,95439.81142507828,,,,,,
,28/01/2021,1611792000,0,,,126687251.18967286,,126687251.18967286,,,,126687251.18967286,,,,126687251.18967286,,,,,,,,,,97372.36417764112,,,,97372.36417764112,,,,,,
,29/01/2021,1611878400,0,,,130256710.6861983,,130256710.6861983,,,,130256710.6861983,,,,130256710.6861983,,,,,,,,,,100294.19002034997,,,,100294.19002034997,,,,,,
,30/01/2021,1611964800,0,,,137228376.2509749,,137228376.2509749,,,,137228376.2509749,,,,137228376.2509749,,,,,,,,,,100410.60590646979,,,,100410.60590646979,,,,,,
,31/01/2021,1612051200,0,,,135996393.48543438,,135996393.48543438,,,,135996393.48543438,,,,135996393.48543438,,,,,,,,,,100706.35810667541,,,,100706.35810667541,,,,,,
,01/02/2021,1612137600,0,,,142145275.28992712,,142145275.28992712,,,,142145275.28992712,,,,142145275.28992712,,,,,,,,,,105506.1333025777,,,,105506.1333025777,,,,,,
,02/02/2021,1612224000,0,,,142743932.61413607,,142743932.61413607,,,,142743932.61413607,,,,142743932.61413607,,,,,,,,,,107866.08648413999,,,,107866.08648413999,,,,,,
,03/02/2021,1612310400,0,,,167649885.679111,,167649885.679111,,,,167649885.679111,,,,167649885.679111,,,,,,,,,,116641.76809969655,,,,116641.76809969655,,,,,,
,04/02/2021,1612396800,0,,,192995719.61085722,,192995719.61085722,,,,192995719.61085722,,,,192995719.61085722,,,,,,,,,,125425.03841811781,,,,125425.03841811781,,,,,,
