Date,Lido.5,market_cap
1/29/2023,8090291824,1866373326
1/30/2023,8397851252,1941345484
1/31/2023,8022423608,1728788684
2/1/2023,8115827973,1844285069
2/2/2023,8617130978,1917187346
2/3/2023,8452819126,1916223023
2/4/2023,8549030272,1988013781
2/5/2023,8562793256,1855333748
2/6/2023,8447541189,1724071943
2/7/2023,8366392539,1844075077
2/8/2023,8690052411,2182246412
2/9/2023,8542928906,2109804952
2/10/2023,8023060718,2227296843
2/11/2023,7859431410,1938188248
2/12/2023,7987098943,2010903350
2/13/2023,7878311524,2110322610
2/14/2023,7828716249,2005725090
2/15/2023,8094204867,2168260020
2/16/2023,8828021852,2386935006
2/17/2023,8670649256,2222580054
2/18/2023,8921567312,2546926715
2/19/2023,8938626175,2754493268
2/20/2023,8856689609,2487506229
2/21/2023,9034278122,2470790651
2/22/2023,8796116233,2347904547
2/23/2023,8716993449,2459494800
2/24/2023,8763753874,2498855894
2/25/2023,8534063544,2429970477
2/26/2023,8785443412,2465611329
2/27/2023,9147403554,2626493381
