Date,Stader-TVL-total,market_cap
2022-11-11,143038950.7,4455351.63866734
2022-11-12,131373321.4,4161046.218336248
2022-11-13,125299829.5,4054766.864178941
2022-11-14,118395438.4,3906901.411472625
2022-11-15,123926841.1,4172268.498468548
2022-11-16,122395979.5,3909863.2348139286
2022-11-17,119251989.5,3673502.8802071344
2022-11-18,118569448.5,3661478.225699766
2022-11-19,117184434.1,3511618.3125430155
2022-11-20,118444061.1,3669083.3132244265
2022-11-21,110537089.1,3814205.846946986
2022-11-22,110167425.3,3647724.970121917
2022-11-23,112132661.5,3857317.554515655
2022-11-24,115685405.3,3923813.9135102006
2022-11-25,116002542.9,4055682.94571018
2022-11-26,118039423.7,4226552.245382552
2022-11-27,118494421.4,4276219.548701727
2022-11-28,118360638.2,4541780.598626987
2022-11-29,115572014.8,4341975.926910187
2022-11-30,118939184.5,4236898.86760346
2022-12-01,122220661,4128774.5776396366
2022-12-02,120598604.7,3942694.6900788494
2022-12-03,120141086.9,3722817.17172373
2022-12-04,118252518.7,3061473.7944141687
2022-12-05,119098148.8,3355011.3591629304
2022-12-06,119773929.9,3468274.927842288
2022-12-07,119064296.7,3287933.709398733
2022-12-08,109573292.6,3318231.7929886137
2022-12-09,111896662.9,3277068.740841872
2022-12-10,111614578.5,3203471.490605328
2022-12-11,112257823,3351483.5337958406
2022-12-12,110716688.3,3374537.548243432
2022-12-13,110374340.5,3253113.186894296
2022-12-14,112123150.6,3314043.67204082
2022-12-15,109147495.7,3281229.366795664
2022-12-16,107231350.9,3202523.5057590287
2022-12-17,97741871.31,3062013.1081565646
2022-12-18,99545418.83,3055224.838675313
2022-12-19,101459087.9,2927718.06285706
2022-12-20,94332456.03,2877891.684578997
2022-12-21,98856707.35,2882470.844976238
2022-12-22,98617547.55,2877513.5694846464
2022-12-23,98938875.41,2838318.049521432
2022-12-24,99635544.18,2771897.611356546
2022-12-25,100154622.2,2732428.035536557
2022-12-26,99333256,2633065.0829521744
2022-12-27,100593883.8,3625062.262606821
2022-12-28,98382733,3074423.065984782
2022-12-29,95599748.22,2696536.627433293
2022-12-30,92842977.9,2766330.878178763
2022-12-31,89534587.91,2753195.671198368
2023-01-01,88141547.24,2728064.6105887657
2023-01-02,90284112.87,2755583.945743791
2023-01-03,93446242.78,3206150.367655214
2023-01-04,91724920.27,3188849.683430848
2023-01-05,93940901.14,4242506.3904417455
2023-01-06,93237242.73,4650624.0588683775
2023-01-07,94769834.01,4597864.86504536
2023-01-08,94847793.06,4756767.575372347
2023-01-09,100858694.9,6711502.012053415
2023-01-10,104674701.9,6511312.664498168
2023-01-11,104828495.9,7937004.691891401
2023-01-12,110359399.2,8883059.140352897
2023-01-13,113487509.9,8503390.328027694
2023-01-14,122479171.5,8234346.920499254
2023-01-15,125792479.2,7597031.489952505
2023-01-16,127247831.3,8249549.2455049725
2023-01-17,128585376.4,7963955.69777291
2023-01-18,130263936.2,7747143.823955592
2023-01-19,124895294.1,9207765.410939906
2023-01-20,134240626.7,9515417.91648466
2023-01-21,155826705,12006615.303027667
2023-01-22,153625255.3,12164981.36384784
2023-01-23,152838370.5,12443291.43868007
2023-01-24,150504825,15600553.607676815
2023-01-25,143230652.6,12502083.367998172
2023-01-26,151717877.6,13651270.762603603
2023-01-27,155729978.5,12482012.148713645
2023-01-28,166385196.8,12554395.983672438
2023-01-29,162494480.3,13525083.87437358
2023-01-30,167566544.5,12893679.000776496
2023-01-31,157010954.2,26020554.63296304
2023-02-01,159451629.4,25440207.61970417
2023-02-02,173616479.9,27656750.12972806
2023-02-03,169028056.6,27181761.371986195
